Date,Open,High,Low,Close,Adj Close,Volume
2025-02-19,22847.25,23049.95,22814.85,22932.9,22932.9,207000.0
2025-02-18,22963.65,22992.5,22801.5,22945.3,22945.3,210600.0
2025-02-17,22809.9,22974.2,22725.45,22959.5,22959.5,207400.0
2025-02-14,23096.45,23133.7,22774.85,22929.25,22929.25,254500.0
2025-02-13,23055.75,23235.5,22992.2,23031.4,23031.4,265700.0
2025-02-12,23050.8,23144.7,22798.35,23045.25,23045.25,279700.0
2025-02-11,23383.55,23390.05,22986.65,23071.8,23071.8,268000.0
2025-02-10,23543.8,23568.6,23316.3,23381.6,23381.6,234200.0
2025-02-07,23649.5,23694.5,23443.2,23559.95,23559.95,368100.0
2025-02-06,23761.95,23773.55,23556.25,23603.35,23603.35,307000.0
2025-02-05,23801.75,23807.3,23680.45,23696.3,23696.3,267000.0
2025-02-04,23509.9,23762.75,23423.15,23739.25,23739.25,376700.0
2025-02-03,23319.35,23381.6,23222.0,23361.05,23361.05,329700.0
2025-01-31,23296.75,23546.8,23277.4,23508.4,23508.4,304900.0
2025-01-30,23169.5,23322.05,23139.2,23249.5,23249.5,361900.0
2025-01-29,23026.75,23183.35,22976.5,23163.1,23163.1,226300.0
2025-01-28,22960.45,23137.95,22857.65,22957.25,22957.25,361900.0
2025-01-27,22940.15,23007.45,22786.9,22829.15,22829.15,257400.0
2025-01-24,23183.9,23347.3,23050.0,23092.2,23092.2,264300.0
2025-01-23,23128.3,23270.8,23090.65,23205.35,23205.35,275600.0
2025-01-22,23099.15,23169.55,22981.3,23155.35,23155.35,276000.0
2025-01-21,23421.65,23426.3,22976.85,23024.65,23024.65,312900.0
2025-01-20,23290.4,23391.1,23170.65,23344.75,23344.75,301500.0
2025-01-17,23277.1,23292.1,23100.35,23203.2,23203.2,272900.0
2025-01-16,23377.25,23391.65,23272.05,23311.8,23311.8,299400.0
2025-01-15,23250.45,23293.65,23146.45,23213.2,23213.2,228000.0
2025-01-14,23165.9,23264.95,23134.15,23176.05,23176.05,311200.0
2025-01-13,23195.4,23340.95,23047.25,23085.95,23085.95,316500.0
2025-01-10,23551.9,23596.6,23344.35,23431.5,23431.5,261000.0
2025-01-09,23674.75,23689.5,23503.05,23526.5,23526.5,269200.0
2025-01-08,23746.65,23751.85,23496.15,23688.95,23688.95,266400.0
2025-01-07,23679.9,23795.2,23637.8,23707.9,23707.9,262300.0
2025-01-06,24045.8,24089.95,23551.9,23616.05,23616.05,278100.0
2025-01-03,24196.4,24196.45,23976.0,24004.75,24004.75,312300.0
2025-01-02,23783.0,24226.7,23751.55,24188.65,24188.65,283200.0
2025-01-01,23637.65,23822.8,23562.8,23742.9,23742.9,154900.0
